,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
"Farid Angga Pribadi, S.Kom., M.Kom",MK029,Analisis Dan Desain Berorientasi Objek,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",,Computing Systems Fundamentals,CPMK208,"Menganalisis kebutuhan komputasi dari solusi aplikasi multi-platform dan memilih arsitektur computing system yang sesuai dengan mempertimbangkan interaksi antara hardware, sistem operasi, dan aplikasi",SCPMK208-029001,"Mahasiswa mampu merancang struktur dan komponen perangkat lunak berorientasi objek menggunakan class diagram dan advanced class diagram UML sebagai blueprint desain yang modular, maintainable, dan scalable.",Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Ceramah, praktikum pemodelan UML, diskusi studi kasus","Tugas, Unjuk Kerja (Presentasi), Tes Tulis (UTS)",Ketepatan dan kelengkapan class diagram serta advanced class diagram sebagai blueprint desain,"Introduction, Modeling a System's Logical Structure: Class Diagrams dan Advanced Class Diagrams","Sub-CPMK 7.1.1.1 Mahasiswa mampu menerapkan berbagai model diagram UML yang digunakan pada proses pengembangan produk TIK secara mandiri

Sub-CPMK 7.1.1.2 Mahasiswa mampu menganalisis sebuah permasalahan dan membuat desain perancangan perangkat lunak pada domain aplikasi tertentu sebagai bentuk solusi yang bermutu

Sub-CPMK 7.1.1.3 Mahasiswa mampu menguasai konsep analisis dan desain perangkat lunak dengan pendekatan berorientasi objek secara mendalam
","1. Introduction
2. Modeling Requirements: Domain Model
3. Modeling Requirements: Use Cases
4. Modeling Requirements: Use Cases Description
5. Robustness Analysis
6. Modeling System Workflows: Activity Diagrams
7. Modeling Requirements: Domain Model Updated
8. Modeling Ordered Interactions: Sequence Diagrams
9. Modeling a System's Logical Structure: Introducing Classes and Class Diagrams
10. Modeling a System's Logical Structure: Advanced Class Diagrams
11. Modeling an Object's State: State Machine Diagrams
12. Modeling Your Deployed System: Deployment Diagrams
","Mata kuliah ini adalah bagian dari unit kompetensi yang harus dikuasai oleh seorang calon analis pengembangan sistem aplikasi perangkat lunak, sedemikian sehingga mampu menghasilkan dokumen perancangan perangkat lunak berorientasi objek, yang siap digunakan oleh para programmer untuk mengimplementasikannya dalam berbagai bahasa pemrograman yang dibutuhkan."
,,,,,,,,SCPMK208-029002,"Mahasiswa mampu menganalisis kebutuhan sistem dan alur proses aplikasi melalui use case, activity diagram, dan deployment diagram untuk menggambarkan keterkaitan proses bisnis, sistem, dan lingkungan eksekusi.",Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Ceramah, praktikum pemodelan UML, diskusi studi kasus","Tugas, Unjuk Kerja (Presentasi)","Ketepatan pemodelan use case, activity diagram, dan deployment diagram terhadap kebutuhan sistem","Modeling Requirements: Use Cases, Modeling System Workflows: Activity Diagrams, Modeling Your Deployed System: Deployment Diagrams",,,
,,,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",BK26,Systems Analysis & Design,CPMK211,"Menerapkan metodologi analisis dan desain sistem secara terstruktur untuk mentransformasi kebutuhan stakeholder menjadi spesifikasi teknis yang komprehensif bagi pengembangan aplikasi multi-platform, dengan menghasilkan artefak desain yang mencakup aspek fungsional, non-fungsional, dan arsitektural yang dapat diimplementasikan",SCPMK211-029001,"Mahasiswa mampu mentransformasikan kebutuhan stakeholder menjadi spesifikasi teknis sistem melalui domain model, use case description, dan robustness analysis secara terstruktur dan konsisten.",Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Ceramah, praktikum analisis kebutuhan, diskusi studi kasus","Tugas, Tes Tulis (UTS)",Ketepatan transformasi kebutuhan stakeholder menjadi spesifikasi teknis melalui domain model dan robustness analysis,"Modeling Requirements: Domain Model, Use Cases Description, Robustness Analysis",,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK10,Software Design,CPMK602,Mampu merancang arsitektur dan komponen perangkat lunak secara sistematis menggunakan pola desain yang sesuai dengan kebutuhan stakeholder,SCPMK602-029001,Mahasiswa mampu memodelkan interaksi dan perilaku objek dalam sistem menggunakan sequence diagram dan state machine diagram sebagai dasar perancangan arsitektur perangkat lunak.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Praktikum pemodelan interaksi objek, presentasi proyek","Unjuk Kerja (Presentasi), Tugas",Ketepatan pemodelan interaksi dan perilaku objek menggunakan sequence diagram dan state machine diagram,"Modeling Ordered Interactions: Sequence Diagrams, Modeling an Object's State: State Machine Diagrams",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK26,Systems Analysis & Design,CPMK607,Mampu menganalisis kebutuhan organisasi untuk merancang serta mengimplementasikan solusi sistem informasi terintegrasi yang kompleks.,CPMK607-029001,"Mahasiswa mampu menganalisis proses bisnis organisasi dan integrasi sistem menggunakan activity diagram, domain model, dan pemodelan UML terintegrasi untuk merepresentasikan sistem informasi yang kompleks.",Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Ceramah, diskusi studi kasus integrasi sistem","Tugas, Tes Tulis (UAS)",Ketepatan analisis proses bisnis dan integrasi sistem informasi melalui pemodelan UML terintegrasi,"Modeling Requirements: Domain Model Updated, pemodelan UML terintegrasi untuk sistem informasi kompleks",,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK29,Software Modeling and Analysis,CPMK609,Mampu merancang model pemodelan perangkat lunak yang akurat untuk memastikan desain teknis memenuhi seluruh spesifikasi kebutuhan stakeholder.,CPMK609-029001,Mahasiswa mampu menyusun dan mengevaluasi dokumen Spesifikasi Kebutuhan Perangkat Lunak (SKPL) berdasarkan hasil pemodelan UML secara lengkap dan siap diimplementasikan.,Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Praktikum penyusunan dokumen SKPL, presentasi","Tugas, Unjuk Kerja (Presentasi), Tes Tulis (UAS)",Kelengkapan dan kesesuaian dokumen SKPL terhadap hasil pemodelan UML,Penyusunan Spesifikasi Kebutuhan Perangkat Lunak (SKPL) berdasarkan pemodelan UML,,,
"Rizki Putri Ramadhani, S.S., M.Pd.
",MK030,Bahasa Indonesia,,,,CPMK307,"Mahasiswa mampu berkomunikasi secara lisan dan menulis karya ilmiah dalam Bahasa Indonesia yang baik dan benar sesuai kaidah EYD, menggunakan bahasa baku dan struktur yang sistematis dalam konteks profesional.",,,,,,,,,"1. Wawasan tentang bahasa Indonesia.
2. Bahasa resmi dan tidak resmi.
3. Ejaan bahasa Indonesia dan pemilihan kata.
4. Menulis pesan singkat dan surat elektronik ragam resmi.
5. Bertelepon ragam resmi dan wawancara kerja.
6. Menulis lamaran pekerjaan dan daftar riwayat hidup.
7. Berpresentasi.
8. Karya tulis ilmiah (proposal penelitian, skripsi, dan artikel ilmiah)
9. Pengutipan.
10. Penulisan proposal penelitian mini.
11. Penyuntingan mandiri.

","Mata kuliah Bahasa Indonesia merupakan mata kuliah yang melatihkan keterampilan berbahasa lisan dan tulis ragam resmi dalam konteks menulis pesan singkat dan surat elektronik, bertelepon, melamar pekerjaan, wawancara kerja, presentasi, dan menulis karya ilmiah."
,,,,,,CPMK308,Mahasiswa mampu mempresentasikan ide dan hasil kerja secara efektif serta melakukan komunikasi interpersonal dan public speaking yang etis dan profesional menggunakan Bahasa Indonesia.,,,,,,,,,,
"Vipkas Al Hadid Firdaus, S.T., M.T",MK031,Kecerdasan Artifisial,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK18,Intelligent Systems,CPMK706,"Mampu merancang, mengimplementasikan, dan mengevaluasi sistem cerdas dengan menerapkan algoritma kecerdasan artifisial dan pembelajaran mesin untuk pemodelan, analisis data, dan pengambilan keputusan",SubCPMK-3101,Mampu menjelaskan konsep dasar kecerdasan artifisial serta menganalisis persoalan menggunakan berbagai Algoritma secara sistematis dan logis,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Diskusi, Tutorial",Tes Tulis (UTS),Ketepatan penjelasan konsep dan akurasi perumusan strategi pencarian,"Konsep dasar kecerdasan artifisial, strategi pencarian (searching), dan algoritma penyelesaian masalah",,,
,,,,,,,,SubCPMK-3102,Mampu merancang representasi pengetahuan dan model agen cerdas untuk mengidentifikasi solusi pada domain permasalahan tertentu,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Studi Kasus,Observasi (Praktik/ Tugas),Kedalaman analisis representasi dan kesesuaian model agen terhadap masalah,Representasi pengetahuan dan model agen cerdas (intelligent agent),,,
,,,,,,,,SubCPMK-3103,q,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Perancangan, Praktikum","Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)","Kualitas kode program, akurasi model, dan sistematika laporan",Perancangan dan implementasi model machine learning sederhana untuk pemodelan dan analisis data,,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",,,CPMK1005,"Mampu mengembangkan dan mengevaluasi solusi sistem cerdas berdasarkan aspek kinerja, keandalan, interpretabilitas, dan kesesuaian solusi terhadap kebutuhan domain aplikasi.",SubCPMK-3104,"Mampu mengembangkan dan mengevaluasi solusi sistem cerdas terapan pada berbagai domain aplikasi nyata dengan mempertimbangkan aspek reliabilitas, interpretabilitas, dan kebutuhan stakeholder",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Perancangan, Pengembangan Produk","Presentasi Proyek, Dokumentasi, UAS","Kemampuan komunikasi, fungsionalitas produk, dan kesesuaian solusi terhadap domain","Studi kasus penerapan sistem cerdas pada domain aplikasi nyata: reliabilitas, interpretabilitas, dan kebutuhan stakeholder",,,
"Sofyan Noor Arief, S.ST., M.Kom.
",MK032,"Jaringan Komputer
",CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,BK08,Computer Networks,CPMK901,Mahasiswa mampu menjelaskan dan menganalisis cara kerja sistem komputer beserta komponen utamanya.,,,,,,,,,,
,,,CPL05,BK08,Computer Networks,CPMK504,"Mampu membangun dan mengelola infrastruktur jaringan komputer dengan memilih arsitektur, protokol, dan teknik konfigurasi yang sesuai kebutuhan sistem.",,"Mampu menguasai konsep Jaringan Komputer dalam bidang TIK secara mendalam; Mampu menguasai metode pada proses
komunikasi jaringan; Mampu menerapkan konsep Jaringan Komputer secara mandiri, bermutu, terukur, dan dengan sikap bertanggung jawab; Mampu menggunakan perangkat bantu dalam menerapkan komunikasi jaringan dengan memperhatikan nilai, norma, dan etika akademik.",,,,,,,,
"Sofyan Noor Arief, S.ST., M.Kom.
",MK033,Praktikum Jaringan Komputer,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,BK08,Computer Networks,CPMK901,Mahasiswa mampu menjelaskan dan menganalisis cara kerja sistem komputer beserta komponen utamanya.,,,,,,,,,,
,,,CPL05,BK08,Computer Networks,CPMK504,"Mampu membangun dan mengelola infrastruktur jaringan komputer dengan memilih arsitektur, protokol, dan teknik konfigurasi yang sesuai kebutuhan sistem.",,,,,,,,,,
"Moch Zawaruddin Abdullah, S.ST., M.Kom.",MK034,Pemrograman Web Lanjut,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",BK19,Platform-Based Development,CPMK06,"Mampu mengevaluasi dan mengembangkan aplikasi berbasis web dan mobile dengan mempertimbangkan aspek arsitektur, performa, integrasi layanan, dan pengalaman pengguna.",,,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),jobsheet dan praktik pengembangan perangkat lunak,"Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi), Quiz, Partisipasi","kemampuan menganalisis kasus, kemampuan menjelaskan proses bisnis, kemampuan pemrogaman",,"7.3.2.1 SUBCPMK1
Mahasiswa mampu menggunakan metode pengembangan aplikasi berbasis website sebagai sebuah solusi pemecahan masalah
7.3.2.2 SUBCPMK2
Mahasiswa mampu menerapkan perangkat bantu pengembangan aplikasi berbasis website
7.3.2.3 SUBCPMK3
Mahasiswa mampu membuat aplikasi berbasis website yang bermutu","1. Pengenalan Web Framework
2. Routing, Controller, View
3. Migration
4. Eloquent ORM
5. Blade View, Web Layout, dan Datatables
6. Template Form (AdminLTE), Client Validation, Server Validation
7. Authentication dan Authorization
8. File Import dan Export
9. API","Mata kuliah Pemrograman Web Lanjut membahas pengembangan sistem berbasis web dengan menggunakan framework PHP Laravel. Mahasiswa akan mempelajari berbagai konsep penting dalam pengembangan aplikasi web modern, termasuk arsitektur MVC (Model-View-Controller), routing, middleware, database migration, serta implementasi fitur autentikasi dan otorisasi. Selain itu, mata kuliah ini juga mengajarkan teknik optimasi performa aplikasi, penerapan standar keamanan, dan pengelolaan API menggunakan Laravel."
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK19,Platform-based Development,CPMK603,"Mampu mengimplementasikan dan melakukan deployment aplikasi perangkat lunak pada platform web, mobile, atau framework secara fungsional.",,,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),jobsheet dan praktik pengembangan perangkat lunak,"Quiz, Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi), Partisipasi","kemampuan melakukan deployment aplikasi, kemampuan dalam mengelola sistem",,,,
"Pramana Yoga Saputra, S.Kom., MMT.
Deasy Sandhya Elya Ikawati, S.Si, M. Si",MK035,Statistik Komputasi,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,BK20,Computational Science,CPMK902,"Mahasiswa mampu menguasai prinsip matematika, ilmu alam dan struktur diskrit serta menerapkan pendekatan komputasional sebagai dasar analisis terhadap permasalahan.",CPMK902-00101,"Mahasiswa mampu menerapkan konsep statistika deskriptif dan inferensial (pemusatan data, persebaran data, probabilitas, dan pengujian hipotesis) untuk menganalisis data dalam pendekatan komputasional.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah interaktif, praktikum pengolahan data, diskusi studi kasus","Quiz, Tugas, Tes Tulis (UTS), Tes Tulis (UAS)","Ketepatan pengolahan dan penyajian data, ketepatan pengujian hipotesis dan interpretasi hasil analisis statistik","Pengumpulan dan penyajian data, pemusatan dan persebaran data, probabilitas dan distribusi data, statistik inferensial, uji normalitas dan homogenitas, analisis korelasi, varians, dan regresi",,"•	Pengenalakan statistika
•	Pengumpulan data
•	Penyajian data
•	Pemusatan data
•	Persebaran data
•	Probabilitas
•	Distribusi data
•	Statistik inferensial
•	Populasi, sampel dan proporsi
•	Hipotesis
•	Uji normalitas
•	Uji homogenitas
•	Analisis korelasi
•	Analisis varians
•	Analisis regresi","Pada mata kuliah statistika mahasiswa akan dipelajari konsep dasar statistika. Mahasiswa juga diajarkan untuk dapat mengumpulkan dan merepresentasikan data dengan menggunakan perangkat lunak. Selanjutnya, pada mata kuliah ini, mahasiswa akan diajarkan bagaimana cara memproses data yang sudah dikumpulkan. Pada mata kuliah ini, mahasiswa juga akan dibekali dengan  pengetahuan untuk menganalisa data. Selain itu, pada mata kuliah statistika mahasiswa juga dibiasakan menggunakan perangkat lunak untuk mengolah dan menganalisa data"
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",,,CPMK707,"Mahasiswa mampu memodelkan, mensimulasikan, dan menganalisis permasalahan menggunakan metode statistika komputasi dan pendekatan numerik",,,,,,,,,,
"Endah Septa Sintiya. SPd., MKom.",MK036,Proyek Sistem Informasi,"(CPL03) Mampu mengelola tim, manajemen diri, berkomunikasi secara lisan maupun tertulis dengan baik dan mampu melakukan presentasi.","BK03
BK01","Project Management
Social Issues and Professional Practice",CPMK301,"Mampu mengelola diri dan bekerja sama secara profesional dengan menerapkan etika profesi, komunikasi efektif lisan dan tertulis, serta mempresentasikan ide dan hasil kerja secara bertanggung jawab dalam konteks akademik dan praktik profesional.",SCPMK301-00101,"Mampu menerapkan etika profesi, manajemen diri, dan kerja sama tim secara profesional dalam konteks akademik dan praktik profesional.",Diskusi Kelompok (Small Group Discussion) ,"Mahasiswa bekerja dalam kelompok kecil untuk mendiskusikan topik atau studi kasus, bertukar ide, dan menyusun solusi secara kolaboratif. Kegiatan ini melatih kerja sama tim, komunikasi efektif, berpikir kritis, serta tanggung jawab akademik melalui presentasi singkat hasil diskusi.","Unjuk Kerja (Presentasi), Observasi (Praktik/ Tugas), Tes Lisan (Tugas Kelompok), Quiz","Sikap profesional & etika akademik: 25%

Manajemen diri (kesiapan & ketepatan waktu): 25%

Kerja sama dan peran tim: 25%

Tanggung jawab dalam penyampaian & menjawab pertanyaan: 25%

Jenis tes: Unjuk kerja (presentasi kelompok)",Konsep proyek dan manajemen proyek,,,
,,,,,,,,SCPMK301-00102,"Mampu berkomunikasi dan mempresentasikan ide serta hasil kerja secara efektif, lisan maupun tertulis, dengan penuh tanggung jawab.",Diskusi Kelompok (Small Group Discussion) ,"Mahasiswa bekerja dalam kelompok kecil untuk mendiskusikan topik atau studi kasus, bertukar ide, dan menyusun solusi secara kolaboratif. Kegiatan ini melatih kerja sama tim, komunikasi efektif, berpikir kritis, serta tanggung jawab akademik melalui presentasi singkat hasil diskusi.","Unjuk Kerja (Presentasi), Tes Tulis (UTS)","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)","Integration Management,",,,
,,,,,,,,,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK10,Software Design,CPMK602,Mampu merancang arsitektur dan komponen perangkat lunak secara sistematis menggunakan pola desain yang sesuai dengan kebutuhan stakeholder,CPMK602-00101,Mampu menganalisis kebutuhan stakeholder sebagai dasar perancangan arsitektur perangkat lunak.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Pengerjaan proyek secara berkelompok untuk menerapkan konsep pada masalah nyata serta melatih kerja sama, manajemen proyek, dan tanggung jawab melalui evaluasi hasil proyek.","Unjuk Kerja (Presentasi), Tes Tulis (UTS)","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)",Stakeholder Management,,"1.        Pengenalan proyek sistem informasi
2.        Analisa kebutuhan proyek sistem informasi
3.        Perancangan proyek sistem informasi
4.        Implementasi proyek sistem informasi
5.        Pengujian proyek sistem informasi
6.        Deployment proyek sistem informasi

","Matakuliah ini merupakan matakuliah capstone yang menggabungkan beberapa kompetensi dari matakuliah-matakuliah yang lain. Spesifikasi proyek berupa sistem informasi berbasis web berbasis framework. Tahapan pelaksanaan proyek ini mencakup: Inisiasi proyek, Pengajuan ide proyek, Penentuan ruang lingkup proyek, Penggalian kebutuhan, Perancangan sistem, Implementasi, Pengujian, Pembuatan Dokumentasi Detail dari tiap tahap pengembangan dan Diseminasi. Proyek ini dikerjakan secara berkelompok dengan menerapkan collaboration tools dan repository system. Sistem informasi yang akan dibangun dilengkapi dengan fasilitas untuk pendukung keputusan serta visualisasi data berbasis business intelligence.Matakuliah ini merupakan matakuliah capstone yang menggabungkan beberapa kompetensi dari matakuliah-matakuliah yang lain. Spesifikasi proyek berupa sistem informasi berbasis web berbasis framework. Tahapan pelaksanaan proyek ini mencakup: Inisiasi proyek, Pengajuan ide proyek, Penentuan ruang lingkup proyek, Penggalian kebutuhan, Perancangan sistem, Implementasi, Pengujian, Pembuatan Dokumentasi Detail dari tiap tahap pengembangan dan Diseminasi. Proyek ini dikerjakan secara berkelompok dengan menerapkan collaboration tools dan repository system. Sistem informasi yang akan dibangun dilengkapi dengan fasilitas untuk pendukung keputusan serta visualisasi data berbasis business intelligence."
,,,,,,,,CPMK602-00102,Mampu merancang arsitektur dan komponen perangkat lunak secara sistematis dengan menerapkan pola desain yang sesuai.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Pengerjaan proyek secara berkelompok untuk menerapkan konsep pada masalah nyata serta melatih kerja sama, manajemen proyek, dan tanggung jawab melalui evaluasi hasil proyek.","Unjuk Kerja (Presentasi), Quiz","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)",Resource Management & Procurement Management,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


","BK10
BK22
BK24
BK25
BK28
BK29","Software Design
Human Computer Interaction
Software Development Fundamentals
Software Process
Software Quality, Verification & Design
Software Modeling and Analysis",CPMK802,"Mampu mengelola proses rekayasa perangkat lunak dan desain antarmuka (UI/UX) dalam siklus hidup proyek, termasuk penerapan metodologi pengembangan dan prinsip penjaminan mutu (SQA) untuk menghasilkan produk yang berkualitas dan berpusat pada pengguna.",CPMK802-00101,Mampu menerapkan metodologi pengembangan perangkat lunak dalam pengelolaan siklus hidup proyek secara sistematis.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Pengerjaan proyek secara berkelompok untuk menerapkan konsep pada masalah nyata serta melatih kerja sama, manajemen proyek, dan tanggung jawab melalui evaluasi hasil proyek.","Unjuk Kerja (Presentasi), Quiz","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)","Project scope management, Project time management",,,
,,,,,,,,CPMK802-00102,Mampu merancang dan mengevaluasi desain antarmuka (UI/UX) dengan menerapkan prinsip penjaminan mutu (SQA) untuk menghasilkan produk yang berkualitas dan berpusat pada pengguna.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Pengerjaan proyek secara berkelompok untuk menerapkan konsep pada masalah nyata serta melatih kerja sama, manajemen proyek, dan tanggung jawab melalui evaluasi hasil proyek.","Unjuk Kerja (Presentasi), Quiz","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)","Cost Management, Quality Management",,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


","BK03
BK01","Project Management
Social Issues and Professional Practice",CPMK803,"Mampu melaksanakan, memonitor, dan mengendalikan jalannya proyek menggunakan alat bantu (tools) manajemen, serta mengelola dinamika tim untuk mencapai tujuan proyek secara efisien.",CPMK803-00101,"Mampu menggunakan alat bantu (tools) manajemen proyek untuk melaksanakan, memonitor, dan mengendalikan aktivitas proyek.",Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Pengerjaan proyek secara berkelompok untuk menerapkan konsep pada masalah nyata serta melatih kerja sama, manajemen proyek, dan tanggung jawab melalui evaluasi hasil proyek.","Unjuk Kerja (Presentasi), Tes Tulis (UAS), Quiz","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)",Communications Management & Risk Management,,,
,,,,,,,,CPMK803-00102,Mampu mengelola dinamika dan kinerja tim proyek secara profesional untuk mencapai tujuan proyek secara efisien.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Pengerjaan proyek secara berkelompok untuk menerapkan konsep pada masalah nyata serta melatih kerja sama, manajemen proyek, dan tanggung jawab melalui evaluasi hasil proyek.","Unjuk Kerja (Presentasi), Tes Tulis (UAS), Quiz","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)",Agile Principles in Software Development,,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",BK26,Systems Analysis & Design,CPMK1008,Mampu mengintegrasikan dan mengevaluasi hasil analisis dan desain sistem ke dalam pengembangan sistem dengan mempertimbangkan aspek teknis dan organisasi.,CPMK1008-00101,Mampu mengintegrasikan hasil analisis dan desain sistem ke dalam proses pengembangan sistem secara konsisten.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Pengerjaan proyek secara berkelompok untuk menerapkan konsep pada masalah nyata serta melatih kerja sama, manajemen proyek, dan tanggung jawab melalui evaluasi hasil proyek.","Unjuk Kerja (Presentasi), Tes Tulis (UAS)","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)",Project Closure,,,
,,,,,,,,CPMK1008-00102,Mampu mengevaluasi pengembangan sistem dengan mempertimbangkan aspek teknis dan organisasi.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Pengerjaan proyek secara berkelompok untuk menerapkan konsep pada masalah nyata serta melatih kerja sama, manajemen proyek, dan tanggung jawab melalui evaluasi hasil proyek.","Unjuk Kerja (Presentasi), Tes Tulis (UAS)","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)",Simulation of software project development,,,
